PC1,PC2,Cluster,Title
6.492254834212652,5.356051150538431,1,Toy Story (1995)
-5.603048442808164,1.2976100790624487,0,Jumanji (1995)
-1.8385649963298596,-0.1207657151097114,0,Grumpier Old Men (1995)
-0.6973880166936693,0.13142159681002927,2,Waiting to Exhale (1995)
-3.0509253763052167,-0.4995849180175806,0,Father of the Bride Part II (1995)
4.079284904477368,0.12271162855027129,1,Heat (1995)
-1.0133855600945505,-0.30897160699571424,2,Sabrina (1995)
-1.5364739434467007,-0.745882735027505,0,Sudden Death (1995)
-1.339696058573185,2.369894554148647,2,GoldenEye (1995)
-0.37479180361695397,1.4024660385016239,2,"American President, The (1995)"
-2.3088262412669316,-0.38325162810847774,0,Dracula: Dead and Loving It (1995)
-0.3868394010782449,-0.31745396868404824,2,Balto (1995)
-0.12103787716290798,-0.008603479538691576,2,Nixon (1995)
-1.9662750995599942,0.09851297930631792,0,Cutthroat Island (1995)
3.9884390338971754,-0.5678614665896103,1,Casino (1995)
1.7442883593087863,-0.054882511252041105,2,Sense and Sensibility (1995)
0.024056814803016417,-0.725698398715331,2,Four Rooms (1995)
-9.115142675573635,-0.4460206257661016,0,Ace Ventura: When Nature Calls (1995)
-1.9140314924175812,-1.4049935583590585,0,Money Train (1995)
-0.5473273361766531,0.6674446464377718,2,Get Shorty (1995)
-1.1305284664225603,0.09857568161705563,2,Copycat (1995)
-1.2553079678587278,-0.19505380259751443,2,Assassins (1995)
-2.3586882014662103,-0.3606119827698894,0,Powder (1995)
1.992074786671203,-0.8336686809438402,2,Leaving Las Vegas (1995)
-0.017065647398228457,-0.45859089527500413,2,Othello (1995)
-0.1607970468094969,0.14891774139191988,2,Now and Then (1995)
0.7249538042593897,0.1058432476239974,2,Persuasion (1995)
2.2157584457993,-1.5415646487486863,2,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
-1.3885784173823796,0.17812172824812003,2,Dangerous Minds (1995)
8.065297128463822,-3.308393648797526,1,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
-1.2241782800437104,0.20198605926758356,2,Babe (1995)
0.12639555832447058,-0.10257502224597552,2,Carrington (1995)
1.8080096075943772,0.14699534193837302,2,Dead Man Walking (1995)
-3.225415848257439,0.41096709659307357,0,Clueless (1995)
0.2634139692423841,-0.7346015299854102,2,Richard III (1995)
-0.28841507488915946,0.14575620171579645,2,Dead Presidents (1995)
-0.3133611716491467,0.09349314457967794,2,Restoration (1995)
-4.593801930476172,0.4372504246184228,0,Mortal Kombat (1995)
-0.2849252601337155,-1.01686766815822,2,To Die For (1995)
-0.33765826368556023,-0.48824719064812583,2,How to Make an American Quilt (1995)
9.51780752801101,-1.323603385410174,1,Seven (a.k.a. Se7en) (1995)
-3.854473899061018,0.7111542438903852,0,Pocahontas (1995)
11.248939278322979,-0.6228107198593924,1,"Usual Suspects, The (1995)"
-0.12999404285326183,0.6425642319834485,2,Mighty Aphrodite (1995)
-0.018505204151530882,-0.09979681996359234,2,Home for the Holidays (1995)
-0.19210940559500767,-0.7156708795812494,2,"Postman, The (Postino, Il) (1994)"
-1.17854162829987,-0.5127440688700893,2,"Indian in the Cupboard, The (1995)"
-0.3998729847417115,-0.21494192067928508,2,Eye for an Eye (1996)
-0.28727548400455616,0.6185745298410597,2,Mr. Holland's Opus (1995)
-0.8400541440914676,-0.15415654943301568,2,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
-3.9703283557093627,-1.9598371088234523,0,Bio-Dome (1996)
-1.846947028467367,-0.6260264514858414,0,Lawnmower Man 2: Beyond Cyberspace (1996)
0.12839227329796754,0.3239951770773667,2,Friday (1995)
-1.256148944490447,1.5219074568393283,2,From Dusk Till Dawn (1996)
0.2166746722486587,-0.09979120973587895,2,"Misérables, Les (1995)"
-0.1612788422674514,0.21034639946416428,2,Bed of Roses (1996)
-0.45881459135607394,-0.16319064221571808,2,Screamers (1995)
-0.7515498332291503,-1.045475341855567,2,"Juror, The (1996)"
-0.7833053592029204,-0.41100344087672475,2,Things to Do in Denver When You're Dead (1995)
-0.11680600872510159,-0.2963278551995611,2,Antonia's Line (Antonia) (1995)
0.08490414030633867,0.05752867591830996,2,Angels and Insects (1995)
-0.3382836625884904,-0.2297283107556143,2,White Squall (1996)
-1.5912659008037393,0.05975050049610282,0,Black Sheep (1996)
-0.6545139895890897,-0.10811177493238429,2,Nick of Time (1995)
-0.4158998218776188,-0.1034233451853142,2,Mary Reilly (1996)
-0.923617720112108,-0.7599340330522099,2,Vampire in Brooklyn (1995)
0.283053558186019,0.21281384827014443,2,Beautiful Girls (1996)
-5.646236883429954,1.5050608098797238,0,Broken Arrow (1996)
1.4781154690656497,-1.398028264159165,2,"Hate (Haine, La) (1995)"
-0.7083371441562797,-0.4280091789565701,2,City Hall (1996)
1.0590384364717,-1.1161903120383394,2,Bottle Rocket (1996)
-1.4762923857306347,1.1065785896766853,0,Happy Gilmore (1996)
-1.157931521068838,-0.6774200754270273,2,"Bridges of Madison County, The (1995)"
-0.8874273390294143,-0.41265779138897596,2,Muppet Treasure Island (1996)
3.853168631930568,5.006684214498774,1,Braveheart (1995)
6.850808291678121,-2.78893264450236,1,Taxi Driver (1976)
-0.3793274037095139,0.07919789260469319,2,Rumble in the Bronx (Hont faan kui) (1995)
