title,genres,rating,adjusted_rating,userId
Balto (1995),Adventure|Animation|Children,3.5,0.4486324216144095,76630
Once Were Warriors (1994),Crime|Drama,3.5,0.4486324216144095,76630
Swimming with Sharks (1995),Comedy|Drama,3.5,0.4486324216144095,76630
Naked (1993),Drama,3.5,0.4486324216144095,76630
Dead Man (1995),Drama|Mystery|Western,3.5,0.4486324216144095,76630
Jean de Florette (1986),Drama|Mystery,4.0,0.9486324216144095,76630
Manon of the Spring (Manon des sources) (1986),Drama,3.5,0.4486324216144095,76630
Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama,4.0,0.9486324216144095,76630
"Third Man, The (1949)",Film-Noir|Mystery|Thriller,4.0,0.9486324216144095,76630
Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,3.5,0.4486324216144095,76630
Ran (1985),Drama|War,4.0,0.9486324216144095,76630
"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller,4.0,0.9486324216144095,76630
Touch of Evil (1958),Crime|Film-Noir|Thriller,3.5,0.4486324216144095,76630
"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,3.5,0.4486324216144095,76630
8 1/2 (8½) (1963),Drama|Fantasy,3.5,0.4486324216144095,76630
"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western,5.0,1.9486324216144095,76630
Down by Law (1986),Comedy|Drama|Film-Noir,3.5,0.4486324216144095,76630
Night on Earth (1991),Comedy|Drama,3.5,0.4486324216144095,76630
"Great Dictator, The (1940)",Comedy|Drama|War,5.0,1.9486324216144095,76630
"Nightmare on Elm Street, A (1984)",Horror|Thriller,3.5,0.4486324216144095,76630
Tin Men (1987),Comedy|Drama,3.5,0.4486324216144095,76630
Kolya (Kolja) (1996),Comedy|Drama,3.5,0.4486324216144095,76630
Hercules (1997),Adventure|Animation|Children|Comedy|Musical,3.5,0.4486324216144095,76630
Suicide Kings (1997),Comedy|Crime|Drama|Mystery|Thriller,3.5,0.4486324216144095,76630
Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance,3.5,0.4486324216144095,76630
On the Waterfront (1954),Crime|Drama,4.0,0.9486324216144095,76630
"Dead Zone, The (1983)",Thriller,3.5,0.4486324216144095,76630
"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller,3.5,0.4486324216144095,76630
"Player, The (1992)",Comedy|Crime|Drama,3.5,0.4486324216144095,76630
"Elephant Man, The (1980)",Drama,3.5,0.4486324216144095,76630
Central Station (Central do Brasil) (1998),Drama,3.5,0.4486324216144095,76630
"Celebration, The (Festen) (1998)",Drama,3.5,0.4486324216144095,76630
Westworld (1973),Action|Sci-Fi|Thriller|Western,3.5,0.4486324216144095,76630
"400 Blows, The (Les quatre cents coups) (1959)",Crime|Drama,3.5,0.4486324216144095,76630
Jules and Jim (Jules et Jim) (1961),Drama|Romance,4.0,0.9486324216144095,76630
Hang 'Em High (1968),Crime|Drama|Western,3.5,0.4486324216144095,76630
"Dirty Dozen, The (1967)",Action|Drama|War,5.0,1.9486324216144095,76630
Creepshow (1982),Horror,3.5,0.4486324216144095,76630
"General, The (1926)",Comedy|War,4.0,0.9486324216144095,76630
Yojimbo (1961),Action|Adventure,5.0,1.9486324216144095,76630
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,3.5,0.4486324216144095,76630
Angela's Ashes (1999),Drama,3.5,0.4486324216144095,76630
Papillon (1973),Crime|Drama,4.0,0.9486324216144095,76630
Man Bites Dog (C'est arrivé près de chez vous) (1992),Comedy|Crime|Drama|Thriller,3.5,0.4486324216144095,76630
City Lights (1931),Comedy|Drama|Romance,4.0,0.9486324216144095,76630
Dog Day Afternoon (1975),Crime|Drama,3.5,0.4486324216144095,76630
Modern Times (1936),Comedy|Drama|Romance,4.0,0.9486324216144095,76630
Midnight Express (1978),Drama,3.5,0.4486324216144095,76630
"Gold Rush, The (1925)",Adventure|Comedy|Romance,4.0,0.9486324216144095,76630
"Guns of Navarone, The (1961)",Action|Adventure|Drama|War,4.0,0.9486324216144095,76630
Serpico (1973),Crime|Drama,5.0,1.9486324216144095,76630
Kelly's Heroes (1970),Action|Comedy|War,3.5,0.4486324216144095,76630
Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy,3.5,0.4486324216144095,76630
Sexy Beast (2000),Comedy|Crime|Drama,3.5,0.4486324216144095,76630
"Man Who Shot Liberty Valance, The (1962)",Crime|Drama|Western,3.5,0.4486324216144095,76630
No Man's Land (2001),Drama|War,3.5,0.4486324216144095,76630
The Count of Monte Cristo (2002),Action|Adventure|Drama|Romance|Thriller,3.5,0.4486324216144095,76630
Wild Strawberries (Smultronstället) (1957),Drama,5.0,1.9486324216144095,76630
"Transporter, The (2002)",Action|Crime,3.5,0.4486324216144095,76630
"Das Experiment (Experiment, The) (2001)",Drama|Thriller,3.5,0.4486324216144095,76630
25th Hour (2002),Crime|Drama,3.5,0.4486324216144095,76630
Narc (2002),Crime|Drama|Thriller,3.5,0.4486324216144095,76630
City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,3.5,0.4486324216144095,76630
Spellbound (2002),Documentary,3.5,0.4486324216144095,76630
Dirty Pretty Things (2002),Crime|Drama|Thriller,3.5,0.4486324216144095,76630
"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",Animation|Comedy|Fantasy,3.5,0.4486324216144095,76630
"Station Agent, The (2003)",Comedy|Drama,3.5,0.4486324216144095,76630
Battle Royale (Batoru rowaiaru) (2000),Action|Drama|Horror|Thriller,3.5,0.4486324216144095,76630
House of Sand and Fog (2003),Drama,3.5,0.4486324216144095,76630
Monster (2003),Crime|Drama,3.5,0.4486324216144095,76630
"Good bye, Lenin! (2003)",Comedy|Drama,3.5,0.4486324216144095,76630
"Ten Commandments, The (1956)",Adventure|Drama,3.5,0.4486324216144095,76630
Dawn of the Dead (1978),Action|Drama|Horror,3.5,0.4486324216144095,76630
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama,3.5,0.4486324216144095,76630
"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",Action|Comedy|Crime|Drama,3.5,0.4486324216144095,76630
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama,3.5,0.4486324216144095,76630
"Machinist, The (Maquinista, El) (2004)",Mystery|Thriller,4.0,0.9486324216144095,76630
"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",Drama|Mystery|Romance|War,3.5,0.4486324216144095,76630
Layer Cake (2004),Crime|Drama|Thriller,3.5,0.4486324216144095,76630
Million Dollar Baby (2004),Drama,3.5,0.4486324216144095,76630
Hotel Rwanda (2004),Drama|War,4.0,0.9486324216144095,76630
"Downfall (Untergang, Der) (2004)",Drama|War,3.5,0.4486324216144095,76630
Kung Fu Hustle (Gong fu) (2004),Action|Comedy,3.5,0.4486324216144095,76630
Grizzly Man (2005),Documentary,3.5,0.4486324216144095,76630
"History of Violence, A (2005)",Action|Crime|Drama|Thriller,3.5,0.4486324216144095,76630
Brick (2005),Crime|Drama|Film-Noir|Mystery,3.5,0.4486324216144095,76630
Hard Candy (2005),Drama|Thriller,3.5,0.4486324216144095,76630
Over the Hedge (2006),Adventure|Animation|Children|Comedy,3.5,0.4486324216144095,76630
Apocalypto (2006),Adventure|Drama|Thriller,3.5,0.4486324216144095,76630
Eastern Promises (2007),Crime|Drama|Thriller,3.5,0.4486324216144095,76630
"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)",Drama,3.5,0.4486324216144095,76630
In Bruges (2008),Comedy|Crime|Drama|Thriller,3.5,0.4486324216144095,76630
"Fall, The (2006)",Adventure|Drama|Fantasy,3.5,0.4486324216144095,76630
Let the Right One In (Låt den rätte komma in) (2008),Drama|Fantasy|Horror|Romance,3.5,0.4486324216144095,76630
"Wrestler, The (2008)",Drama,3.5,0.4486324216144095,76630
(500) Days of Summer (2009),Comedy|Drama|Romance,3.5,0.4486324216144095,76630
Exit Through the Gift Shop (2010),Comedy|Documentary,3.5,0.4486324216144095,76630
"Fighter, The (2010)",Drama,3.5,0.4486324216144095,76630
Wreck-It Ralph (2012),Animation|Comedy,3.5,0.4486324216144095,76630
Her (2013),Drama|Romance|Sci-Fi,3.5,0.4486324216144095,76630
Four Rooms (1995),Comedy,4.0,0.4771033013844517,133811
Mighty Aphrodite (1995),Comedy|Drama|Romance,4.0,0.4771033013844517,133811
Before Sunrise (1995),Drama|Romance,4.0,0.4771033013844517,133811
Hoop Dreams (1994),Documentary,5.0,1.4771033013844517,133811
Some Like It Hot (1959),Comedy|Crime,4.5,0.9771033013844517,133811
"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,4.0,0.4771033013844517,133811
Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,4.5,0.9771033013844517,133811
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,4.5,0.9771033013844517,133811
Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,4.0,0.4771033013844517,133811
"American Tail, An (1986)",Adventure|Animation|Children|Comedy,4.0,0.4771033013844517,133811
Frankenstein (1931),Drama|Horror|Sci-Fi,4.0,0.4771033013844517,133811
Lolita (1962),Drama|Romance,4.0,0.4771033013844517,133811
Monty Python's And Now for Something Completely Different (1971),Comedy,4.5,0.9771033013844517,133811
Bringing Out the Dead (1999),Drama,4.5,0.9771033013844517,133811
Yojimbo (1961),Action|Adventure,5.0,1.4771033013844517,133811
Easy Rider (1969),Adventure|Drama,5.0,1.4771033013844517,133811
Man on the Moon (1999),Comedy|Drama,4.5,0.9771033013844517,133811
"Hurricane, The (1999)",Drama,4.0,0.4771033013844517,133811
"Mariachi, El (1992)",Action|Crime|Thriller|Western,4.0,0.4771033013844517,133811
Shane (1953),Drama|Western,4.0,0.4771033013844517,133811
Remember the Titans (2000),Drama,4.0,0.4771033013844517,133811
"Family Man, The (2000)",Comedy|Drama|Romance,4.0,0.4771033013844517,133811
Saving Silverman (Evil Woman) (2001),Comedy|Romance,4.0,0.4771033013844517,133811
Heartbreakers (2001),Comedy|Crime|Romance,4.0,0.4771033013844517,133811
"Man Who Shot Liberty Valance, The (1962)",Crime|Drama|Western,5.0,1.4771033013844517,133811
No Man's Land (2001),Drama|War,4.5,0.9771033013844517,133811
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",Action|Mystery|Thriller,5.0,1.4771033013844517,133811
"Sandlot, The (1993)",Children|Comedy|Drama,4.0,0.4771033013844517,133811
Death to Smoochy (2002),Comedy|Crime|Drama,4.0,0.4771033013844517,133811
Rashomon (Rashômon) (1950),Crime|Drama|Mystery,5.0,1.4771033013844517,133811
Igby Goes Down (2002),Comedy|Drama,4.0,0.4771033013844517,133811
About Schmidt (2002),Comedy|Drama,5.0,1.4771033013844517,133811
American Wedding (American Pie 3) (2003),Comedy,4.0,0.4771033013844517,133811
American Splendor (2003),Comedy|Drama,4.5,0.9771033013844517,133811
Boyz N the Hood (1991),Crime|Drama,4.0,0.4771033013844517,133811
Monty Python's The Meaning of Life (1983),Comedy,4.0,0.4771033013844517,133811
Father of the Bride (1991),Comedy,4.0,0.4771033013844517,133811
Bad Santa (2003),Comedy|Crime,4.0,0.4771033013844517,133811
Hero (Ying xiong) (2002),Action|Adventure|Drama,4.0,0.4771033013844517,133811
"Cooler, The (2003)",Comedy|Drama|Romance,4.0,0.4771033013844517,133811
"Ten Commandments, The (1956)",Adventure|Drama,4.0,0.4771033013844517,133811
Saved! (2004),Comedy|Drama,5.0,1.4771033013844517,133811
Napoleon Dynamite (2004),Comedy,4.0,0.4771033013844517,133811
Before Sunset (2004),Drama|Romance,4.5,0.9771033013844517,133811
Garden State (2004),Comedy|Drama|Romance,4.5,0.9771033013844517,133811
Sideways (2004),Comedy|Drama|Romance,5.0,1.4771033013844517,133811
Kinsey (2004),Drama,4.0,0.4771033013844517,133811
Old Boy (2003),Mystery|Thriller,4.5,0.9771033013844517,133811
Grizzly Man (2005),Documentary,5.0,1.4771033013844517,133811
Capote (2005),Crime|Drama,4.5,0.9771033013844517,133811
"Squid and the Whale, The (2005)",Comedy|Drama,4.0,0.4771033013844517,133811
Clerks II (2006),Comedy,4.0,0.4771033013844517,133811
Sabrina (1995),Comedy|Romance,3.0,0.09527972027972043,70201
Four Rooms (1995),Comedy,3.0,0.09527972027972043,70201
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.0,0.09527972027972043,70201
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,3.0,0.09527972027972043,70201
First Knight (1995),Action|Drama|Romance,3.0,0.09527972027972043,70201
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.0,0.09527972027972043,70201
Clerks (1994),Comedy,3.5,0.5952797202797204,70201
Don Juan DeMarco (1995),Comedy|Drama|Romance,3.0,0.09527972027972043,70201
Heavenly Creatures (1994),Crime|Drama,4.0,1.0952797202797204,70201
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,4.0,1.0952797202797204,70201
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.5,1.5952797202797204,70201
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,3.0,0.09527972027972043,70201
Natural Born Killers (1994),Action|Crime|Thriller,3.5,0.5952797202797204,70201
"Quick and the Dead, The (1995)",Action|Thriller|Western,3.0,0.09527972027972043,70201
